Article Title,Abstract,Author1,Author2
GTAG: Architecture and Design of Miniature Transmitter with Position Logging for Radio Telemetry,"The radio telemetry is a well-known technique used within zoological research to exploit the behaviour of animal species. A usage of GPS for a frequent and precise position recording gives interesting possibility for a further enhancement of this method. We present our proposal of an architecture and design concepts of telemetry transmitter with GPS module, called GTAG, that is suited for study of the Egyptian fruit bat (Rousettus aegyptiacus). The model group we study set particular constrains, especially the weight limit (9 g) and prevention of any power resources recharging technique. We discuss the aspect of physical realization and the energy-consumption issues. We have developed a reference implementation that has been already deployed during telemetry sessions and we evaluate the experience and compare the estimated performance of our device to a real data.",1,1
From Radio Telemetry to Ultra-Low-Power Sensor Networks: Tracking Bats in the Wild,"Sensor networks have successfully been used for wildlife monitoring and tracking of different species. When it comes to small animals such as smaller birds, mammals, or even insects, the current approach is to use extremely lightweight RF tags located using radio telemetry. A new quantum leap in technology is needed to overcome this limitation and enable new ways to observe larger numbers of small animals. In an interdisciplinary team, we are working on the different aspects of such a new technology. In particular, we report on our findings on a sensor-network-based tracking solution for bats. Our system is based on integrated localization and wireless communication protocols for ultra-low-power systems. This requires coding techniques for improved reliability as well as ranging solutions for tracking hunting bats. We address the technological and methodical problems related to system design, software support, and protocol design. First field experiments have been conducted that showcase the capabilities of our system.",1,1
Foraging ecology of Leisler's bat (Nyctalus leisleri) at two sites in southern Britain,"Leisler's bat Nyctalus leisleri was studied at sites around Bristol and Kent in southern Britain. Its diet was studied by faecal analysis, and habitat use was monitored by radio-telemetry and time-expanding bat-detectors. The diet, which varied between the two sites and also with the season, consisted primarily of small Nematoceran Diptera plus smaller numbers of Coleoptera and Lepidoptera. Foraging ranges were relatively large - bats flew a mean maximum distance of 4.2 km from the roost. Minimum area convex polygons enclosed an average of 7.4 km(2), but were up to 18.4 km(2). Bats significantly preferred foraging in areas of woodland and along scrub-lined roads in Kent, but over pasture around Bristol. Urban and arable areas were avoided at both sites. Bat-detector transects showed a significant preference for bats to forage along woodland margins.",1,1
A comparison of the roosting behaviour of Gould's wattled bats Chalinolobus gouldii using bat boxes and tree hollows in suburban Melbourne,"Bats in suburban areas face a number of challenges adapting to what is a highly altered landscape. This is particularly true for species that prefer tree hollows for day roosts because the large, old trees that have developed suitable hollows are often removed from suburban areas. In suburban Melbourne,Victoria, Australia, during the last ten years, nest boxes have increasingly been used to provide additional roosts for bats in suburban parkland and remnant forest. However, little is known of the relative use of natural hollows and bat boxes, or whether the addition of new roosts may alter roosting behaviour. The types of resources available to bats may influence their roosting behaviour and have consequences for social interactions, predation risk and parasite loads. At Gresswell Nature Conservation Reserve, in the northern suburbs of Melbourne, there are both natural hollows and bat boxes available to a population of Gould's wattled bat Chalinolobus gouldii. This study investigated the relative use of the two roost types to determine if there were intra-specific differences in roost-use. We used radiotelemetry to locate the roost sites of six males and nine females from January until March 2007; all bats were initially caught while roosting in bat boxes. Roosts were subsequently found in 12 bat boxes and 10 tree hollows. Both sexes used tree hollows and bat boxes, and there was no apparent preference by either sex for either roost type. Individuals moved between the two roost types, indicating the boxes had been incorporated into the overall roosting resource available to the bats. Roost fidelity was variable, with some individuals regularly shifting roosts while others continued to use the same roost for up to 14 days. Bats using boxes shifted to new roosts significantly less often than when in hollows. The roost shifting behaviour of individuals using tree hollows in this study was very similar to that shown by C. gouldii using tree hollows in two previous studies in the rural landscape of northern Victoria.",1,1
On-board recordings reveal no jamming avoidance in wild bats,"Animals often deal with situations in which vast sensory input is received simultaneously. They therefore must possess sophisticated mechanisms to select important input and ignore the rest. In bat echolocation, this problem is at its extreme. Echolocating bats emit sound signals and analyse the returning echoes to sense their environment. Bats from the same species use signals with similar frequencies. Nearby bats therefore face the difficulty of distinguishing their own echoes from the signals of other bats, a problem often referred to as jamming. Because bats commonly fly in large groups, jamming might simultaneously occur from numerous directions and at many frequencies. Jamming is a special case of the general phenomenon of sensory segregation. Another well-known example is the human problem of following conversation within a crowd. In both situations, a flood of auditory incoming signals must be parsed into important versus irrelevant information. Here, we present a novel method, fitting wild bats with a miniature microphone, which allows studying jamming from the bat's 'point of view'. Previous studies suggested that bats deal with jamming by shifting their echolocation frequency. On-board recordings suggest otherwise. Bats shifted their frequencies, but they did so because they were responding to the conspecifics as though they were nearby objects rather than avoiding being jammed by them. We show how bats could use alternative measures to deal with jamming instead of shifting their frequency. Despite its intuitive appeal, a spectral jamming avoidance response might not be the prime mechanism to avoid sensory interference from conspecifics.",1,1
Habitat use of female gray bats assessed using aerial telemetry,"Gray bats (Myotis grisescens) were listed as endangered in 1976 because of population declines resulting from cave disturbance. The Gray Bat Recovery Plan identified the need to understand habitat use by this species. Yet, this need has never been adequately addressed, partly because gray bats are a highly mobile species with large home ranges, making ground-based tracking methods problematic. The objective of this study was to gather information on the foraging behavior of gray bats using aerial telemetry. We radio-tracked 112 reproductive female gray bats from 5 maternity colonies in Arkansas from a fixed-winged aircraft, in June-July of 2014 and 2015. We used fixed-kernel density to estimate the home range used by each colony and each individual. We performed a compositional analysis to determine land cover types selected by gray bats. Aerial telemetry was successful with 15 independent locations gathered for 42 individuals and an error of approximately 400m. Mean 95% individual home range was larger in 2014 (362.224.9 [SE] km(2)) than in 2015 (57.9 +/- 8.6km(2)). Female gray bats traveled and foraged over water proportionally more than expected based on availability. Our results show that aerial telemetry is suitable to track bat movements, and given its large home range size, management strategies for gray bats should extend beyond protecting roost sites to include waterways and riparian areas. (c) 2017 The Wildlife Society. Our study has addressed the need to understand gray bat foraging ecology. Our results show that reproductive female gray bats have a larger home range than previously thought, they highly depend on water for foraging and traveling, and aerial telemetry may be the best option to track small, highly mobile nocturnal species over larger areas.",1,1
BATS: Adaptive Ultra Low Power Sensor Network for Animal Tracking,"In this paper, the BATS project is presented, which aims to track the behavior of bats via an ultra-low power wireless sensor network. An overview about the whole project and its parts like sensor node design, tracking grid and software infrastructure is given and the evaluation of the project is shown. The BATS project includes a lightweight sensor node that is attached to bats and combines multiple features. Communication among sensor nodes allows tracking of bat encounters. Flight trajectories of individual tagged bats can be recorded at high spatial and temporal resolution by a ground node grid. To increase the communication range, the BATS project implemented a long-range telemetry system to still receive sensor data outside the standard ground node network. The whole system is designed with the common goal of ultra-low energy consumption while still maintaining optimal measurement results. To this end, the system is designed in a flexible way and is able to adapt its functionality according to the current situation. In this way, it uses the energy available on the sensor node as efficient as possible.",1,1
Seasonal changes in the foraging behaviour of Leisler's bats (Nyctalus leisleri) in Ireland as revealed by radio-telemetry,"Leisler's bats Nyctalus leisleri, from two nursery colonies were radio-tracked from April to August in 2 years. They commuted directly to foraging sites up to 13.4 km away at speeds often exceeding 40 km h(-1) Except during lactation, individuals occasionally day-roosted away from the nursery in buildings or hollow trees. These were also sometimes used as night roosts, especially during rain, which also stimulated return to the nursery. On most nights the first flight lasted the longest. During preparturition, when distances from roost to foraging site were greatest, and time spent flying per night (t(F)) was least, there was often only one flight, with a second towards dawn on warmer nights, and occasionally a third. After parturition, in June, t(F) and the number of flights (N-F) increased up to weaning, corresponding to rising energy demands. But distances to foraging sites fell, rising only slightly in postlactation, presumably because insects, and thus feeding patches, were more abundant than in preparturition. N-F fell to preparturition levels after lactation. Exploratory behaviour by juveniles intensified with time - distances to feeding sites, t(F) and the total distance flown each night all increased; the distance flown each night was eventually greater than any recorded for adults. Roosting away from the nursery was also more common. Before dispersal, there were extended migrations by juveniles outside the summer range of the adults. Distances moved by two dispersed juveniles exceeded 34 km. Two-thirds of the recorded foraging time was over pasture or drainage canals. Foraging over other habitats, particularly lake and conifer forest, was greatest in preparturition. Other habitats foraged included lights, estuary, stream, beach and dunes.",1,1
Behavioral Response of Bats to Passive Integrated Transponder Tag Reader Arrays Placed at Cave Entrances,"An increasingly popular mark-recapture method to study the ecology of bats is the use of passive integrated transponder (PIT) tags. Deployment of PIT reader arrays at entrances to caves and mines can yield insight into bat behavior during swarming, winter activity, and emergence. This application has the potential to address questions about bat activity at cave and mine entrances in response to white-nose syndrome or bat seasonal movements; however, no studies have examined the response of bats to these arrays. We describe bat response to placement of PIT tag reader arrays using camcorders and supplemental infrared illuminators at three cave entrances near Bloomington, Indiana, during spring 2006. A random subset of 5-min periods was viewed and bat behavior was classified. Circling represented >70% of all behavior noted for two caves but only represented approximately 30% of behavior at the third cave. Proportions of observed activity that resulted in contacts or landings were consistently low across the three caves ((x) over bar = 1.34%; range 0.5-3.0%), with most contacts causing bats to simply change course and fly away. Based on our observations, positioning reader PIT tag reader arrays at cave entrances to passively recapture PIT tags does not limit bat movements. However, video monitoring during initial sampling efforts of future projects should be conducted to verify appropriate placement and configuration of PIT tag reader arrays. This research provides data illustrating the lack of significant impact in using PIT tag reader arrays at cave entrances, thereby opening up the potential use of this technology to address issues of bats ecology that cannot be obtained with other marking techniques.",0,0
Triaxial accelerometer sensor trials for bat swing interpretation in cricket,"Analysis of bat swing is important to the assessment and understanding of effective batting in cricket. The key features of a bat swing include the spatio-temporal position of the bat before contact with the ball and the bat velocity. The current methods of bat swing analysis such as video tracking and coach observation are labor intensive and expensive. This work examined the use of small, low-cost, three dimensional motion sensors as a replacement to existing methods. Using two bat-mounted accelerometer sensors, two experiments were conducted: a set of ball-free, straight drives by an amateur batter at nominal constant speed, and a set of straight drives at different speeds by the same batter accompanied by video tracking. In all cases the bat swing was in the x-z plane of the sensors placed on the reverse face of the bat. The bat face remains in the z direction. The objective was to minimize accelerations perpendicular to the swing plane. Data analysis revealed consistent acceleration profiles with minimal acceleration perpendicular to the plane of the swing (x-z plane). The time lag between the z acceleration peak and the x acceleration peak is related to the speed of the bat. The highest peak in x acceleration results from the higher centrifugal force with minimum radius of gyration while the bat was close to the batter (confirmed by the video footage). This is the dominant rotational component plus an additional gravitational force in the x direction when the bat is aligned to gravity. The sensor attached to the on-side edge of the bat showed higher peak magnitude in x acceleration compared to that from the off-side edge, which indicated variation between the two edges of the bat during swing. The tilted position of the stationary bat at the start of each swing was determined from the x and z axis profiles from minus one g and zero respectively. Different peak accelerations were evident for different swing intensities. This study indicated that the accelerometer sensors can provide reliable bat swing information. (C) 2011 Published by Elsevier Ltd. Selection and peer-review under responsibility of RMIT University",0,1
