Source,ID,Title,Publication_type,Journal,Year_publication,Doi,Geography,Higher_geography,H_5,Year_study,Species_name,Genus,Species,Subspecies,Family,weight_bat_reported,weight_bat_mean,weight_bat_min,weight_bat_max,Type_device,Device_type_category,kind_device,VHF,device_weight_reported,weight_device,weight_device_min,weight_device_max,device_over5,device_%,device_%_min,device_%_max,Contact_authors,Authors_reply,Assignment,Validation
Omara_et_al_2014,Other_Omara_001,Foraging areas and habitat use of the virginia big-eared bat in kentucky,Research,Journal of Wildlife Management,1994,https://doi.org/10.2307/3809317,"Kentucky, USA",Nearctic,Yes,1990-1991,Plecotus townsendii virginianus,Plecotus,townsendii,virginianus,Vespertilionidae,No,NA,10,12,VHF transmitter,VHF transmitter,Holohil BD-2A,Yes,Yes,NA,0.75,0.8,Yes,7.5,7.5,7.5,Yes,No,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_001,Foraging areas and habitat use of the virginia big-eared bat in kentucky,Research,Journal of Wildlife Management,1994,https://doi.org/10.2307/3809317,"Kentucky, USA",Nearctic,Yes,1990-1991,Plecotus townsendii virginianus,Plecotus,townsendii,virginianus,Vespertilionidae,No,NA,9,12,VHF transmitter,VHF transmitter,Holohil BD-2A,Yes,Yes,NA,0.75,0.8,Yes,8,8,8,Yes,No,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_001,Foraging areas and habitat use of the virginia big-eared bat in kentucky,Research,Journal of Wildlife Management,1994,https://doi.org/10.2307/3809317,"Kentucky, USA",Nearctic,Yes,1990-1991,Plecotus townsendii virginianus,Plecotus,townsendii,virginianus,Vespertilionidae,No,NA,9,11,VHF transmitter,VHF transmitter,Holohil BD-2A,Yes,Yes,NA,0.75,0.8,Yes,8,8,8,Yes,No,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_001,Foraging areas and habitat use of the virginia big-eared bat in kentucky,Research,Journal of Wildlife Management,1994,https://doi.org/10.2307/3809317,"Kentucky, USA",Nearctic,Yes,1990-1991,Plecotus townsendii virginianus,Plecotus,townsendii,virginianus,Vespertilionidae,Yes,8,8,8,VHF transmitter,VHF transmitter,Holohil BD-2A,Yes,Yes,NA,0.75,0.8,Yes,10,10,10,Yes,No,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_002,Water availability and successful lactation by bats as related to climate change in arid regions of western north america,Research,Journal of Animal Ecology,2008,https://doi.org/10.1111/j.1365-2656.2008.01447.x ,"Colorado, USA",Nearctic,Yes,2007,Myotis thysanodes,Myotis,thysanodes,NA,Vespertilionidae,Yes,8,8,8,VHF transmitter,VHF transmitter,Holohil LB-2,Yes,Yes,0.45,0.45,0.45,Yes,5.9,5.9,5.9,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_003,Scale-independent significance of river and riparian zones on three sympatric Myotis species in an agricultural landscape,Research,Biological Conservation,2012,https://doi.org/10.1016/j.biocon.2011.08.017,"Hokkaido, Japan",Palearctic,No,2006-2007,Myotis frater,Myotis,frater,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,0.23,0.23,0.23,No,<4,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_003,Scale-independent significance of river and riparian zones on three sympatric Myotis species in an agricultural landscape,Research,Biological Conservation,2012,https://doi.org/10.1016/j.biocon.2011.08.017,"Hokkaido, Japan",Palearctic,No,2006-2007,Myotis gracilis (Myotis mystacinus gracilis),Myotis,gracilis,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Blackburn,Yes,Yes,0.23,0.23,0.23,No,<4,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_003,Scale-independent significance of river and riparian zones on three sympatric Myotis species in an agricultural landscape,Research,Biological Conservation,2012,https://doi.org/10.1016/j.biocon.2011.08.017,"Hokkaido, Japan",Palearctic,No,2006-2007,Myotis petax (Myotis daubentonii petax),Myotis,petax,NA,Vespertilionidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Blackburn,Yes,Yes,0.23,0.23,0.23,No,<4,NA,NA,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_004,"Differential mobility in two small phyllostomid bats, artibeus watsoni and micronycteris microtis, in a fragmented neotropical landscape",Research,Acta Theriologica,2007,https://doi.org/10.1007/BF03194209,Panamá,Neotropical,Yes,2005,Artibeus watsoni,Artibeus,watsoni,NA,Phyllostomidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,0.4,0.4,0.4,No,NA,3,4,No,NA,Co-authors,Co-authors
Omara_et_al_2014,Other_Omara_004,"Differential mobility in two small phyllostomid bats, artibeus watsoni and micronycteris microtis, in a fragmented neotropical landscape",Research,Acta Theriologica,2007,https://doi.org/10.1007/BF03194209,Panamá,Neotropical,Yes,2005,Micronycteris microtis,Micronycteris,microtis,NA,Phyllostomidae,No,NA,NA,NA,VHF transmitter,VHF transmitter,Holohil,Yes,Yes,0.4,0.4,0.4,Yes,>5,5,7,No,NA,Co-authors,Co-authors
